Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
2.1,area,0.020000,3000,29.000,4327.100,4345.323,6.192008219178082
2.1,area,0.030000,100,29.000,4355.325,4373.614,6.2437890410958925
2.1,area,0.030000,400,29.000,4383.615,4401.899,6.288297260273974
2.1,area,0.030000,700,29.000,4411.900,4430.137,6.261880821917808
2.1,area,0.030000,1000,29.000,4440.138,4458.373,6.271480821917807
2.1,area,0.030000,1300,29.000,4468.374,4486.629,6.2532876712328775
2.1,area,0.030000,1600,29.000,4496.630,4514.923,6.278339726027401
2.1,area,0.030000,1900,29.000,4524.924,4543.254,6.249630136986303
2.1,area,0.030000,2100,29.000,4553.255,4571.507,6.2121054794520525
2.1,area,0.030000,2400,29.000,4581.508,4599.762,6.3261739726027395
2.1,area,0.030000,2700,29.000,4609.763,4628.017,6.28014383561644
2.1,area,0.030000,3000,29.000,4638.018,4656.257,6.299617808219177
2.1,area,0.040000,100,29.000,4666.259,4684.484,6.337833333333332
2.1,area,0.040000,400,29.000,4694.485,4712.753,6.249664383561645
2.1,area,0.040000,700,29.000,4722.754,4741.031,6.287436986301367
2.1,area,0.040000,1000,29.000,4751.032,4769.318,6.273694520547949
2.1,area,0.040000,1300,29.000,4779.319,4797.630,6.220564383561644
2.1,area,0.040000,1600,29.000,4807.631,4825.891,6.299054794520547
2.1,area,0.040000,1900,29.000,4835.892,4854.135,6.254484931506848
2.1,area,0.040000,2100,29.000,4864.136,4882.526,6.276746575342466
2.1,area,0.040000,2400,29.000,4892.527,4910.803,6.316435616438358
2.1,area,0.040000,2700,29.000,4920.804,4939.055,6.314263013698631
2.1,area,0.040000,3000,29.000,4949.056,4967.360,6.316068493150684
2.1,area,0.050000,100,29.000,4977.362,4995.633,6.280478082191781
2.1,area,0.050000,400,29.000,5005.634,5023.854,6.268431506849317
2.1,area,0.050000,700,29.000,5033.855,5052.142,6.271539726027396
2.1,area,0.050000,1000,29.000,5062.143,5080.354,6.320863888888891
2.1,area,0.050000,1300,29.000,5090.355,5108.578,6.255723287671234
2.1,area,0.050000,1600,29.000,5118.579,5136.856,6.290917808219178
2.1,area,0.050000,1900,29.000,5146.857,5165.117,6.23134109589041
2.1,area,0.050000,2100,29.000,5175.118,5193.404,6.363473972602742
2.1,area,0.050000,2400,29.000,5203.405,5221.638,6.265362500000002
2.1,area,0.050000,2700,29.000,5231.639,5249.926,6.245456944444443
2.1,area,0.050000,3000,29.000,5259.927,5278.187,6.248278082191781
2.1,area,0.060000,100,29.000,5288.189,5306.444,6.245256164383561
2.1,area,0.060000,400,29.000,5316.445,5334.720,6.222626027397259
2.1,area,0.060000,700,29.000,5344.721,5362.942,6.209954794520548
2.1,area,0.060000,1000,29.000,5372.943,5391.220,6.274812328767126
2.1,area,0.060000,1300,29.000,5401.221,5419.460,6.288518055555555
2.1,area,0.060000,1600,29.000,5429.461,5447.685,6.240302739726025
2.1,area,0.060000,1900,29.000,5457.686,5475.970,6.299152054794521
2.1,area,0.060000,2100,29.000,5485.971,5504.220,6.238376712328769
2.1,area,0.060000,2400,29.000,5514.221,5532.427,6.269623287671234
2.1,area,0.060000,2700,29.000,5542.428,5560.654,6.264754166666667
2.1,area,0.060000,3000,29.000,5570.655,5588.874,6.206846575342464
2.1,area,0.070000,100,29.000,5598.876,5617.041,6.201523287671233
2.1,area,0.070000,400,29.000,5627.042,5645.248,6.296443055555556
2.1,area,0.070000,700,29.000,5655.249,5673.471,6.273460273972601
2.1,area,0.070000,1000,29.000,5683.471,5701.691,6.230838356164383
2.1,area,0.070000,1300,29.000,5711.692,5729.911,6.270319444444444
2.1,area,0.070000,1600,29.000,5739.912,5758.168,6.258635616438356
2.1,area,0.070000,1900,29.000,5768.169,5786.403,6.324286301369863
2.1,area,0.070000,2100,29.000,5796.404,5814.623,6.306972602739724
2.1,area,0.070000,2400,29.000,5824.624,5842.854,6.274861111111113
2.1,area,0.070000,2700,29.000,5852.855,5871.097,6.235716438356166
2.1,area,0.070000,3000,29.000,5881.098,5899.349,6.342698630136984
2.1,area,0.080000,100,29.000,5909.352,5927.517,6.237418055555556
2.1,area,0.080000,400,29.000,5937.518,5955.764,6.232297260273971
2.1,area,0.080000,700,29.000,5965.765,5984.029,6.262001369863012
2.1,area,0.080000,1000,29.000,5994.030,6012.266,6.258235616438359
2.1,area,0.080000,1300,29.000,6022.267,6040.450,6.2731666666666674
2.1,area,0.080000,1600,29.000,6050.451,6068.685,6.276384931506852
2.1,area,0.080000,1900,29.000,6078.686,6096.891,6.235435616438357
2.1,area,0.080000,2100,29.000,6106.892,6125.154,6.2065
2.1,area,0.080000,2400,29.000,6135.155,6153.374,6.2003219178082185
2.1,area,0.080000,2700,29.000,6163.375,6181.562,6.205165277777777
2.1,area,0.080000,3000,29.000,6191.563,6209.798,6.265131506849314
2.1,area,0.090000,100,29.000,6219.799,6237.997,6.277561643835616
2.1,area,0.090000,400,29.000,6247.998,6266.225,6.299858904109587
2.1,area,0.090000,700,29.000,6276.226,6294.498,6.303313698630136
2.1,area,0.090000,1000,29.000,6304.499,6322.731,6.1996191780821945
2.1,area,0.090000,1300,29.000,6332.732,6350.934,6.221945205479454
2.1,area,0.090000,1600,29.000,6360.935,6379.139,6.219322222222221
2.1,area,0.090000,1900,29.000,6389.140,6407.377,6.193413698630137
2.1,area,0.090000,2100,29.000,6417.378,6435.501,6.253247945205481
2.1,area,0.090000,2400,29.000,6445.502,6463.815,6.238817567567568
2.1,area,0.090000,2700,29.000,6473.816,6492.000,6.263966666666665
2.1,area,0.090000,3000,29.000,6502.001,6520.229,6.198841095890412
2.1,area,0.100000,100,29.000,6530.230,6548.419,6.1691625000000005
2.1,area,0.100000,400,29.000,6558.419,6576.721,6.211604166666668
2.1,area,0.100000,700,29.000,6586.722,6604.916,6.2118534246575345
2.1,area,0.100000,1000,29.000,6614.917,6633.093,6.19837808219178
2.1,area,0.100000,1300,29.000,6643.094,6661.386,6.265753424657536
2.1,area,0.100000,1600,29.000,6671.387,6689.595,6.3020652777777775
2.1,area,0.100000,1900,29.000,6699.596,6717.820,6.200552054794524
2.1,area,0.100000,2100,29.000,6727.821,6746.028,6.204764383561645
2.1,area,0.100000,2400,29.000,6756.029,6774.200,6.20238888888889
2.1,area,0.100000,2700,29.000,6784.201,6802.376,6.169736986301371
2.1,area,0.100000,3000,29.000,6812.377,6830.568,6.189269444444444
2.1,edge,0.000000,100,29.000,6840.570,6859.282,6.308544
2.1,edge,0.000000,400,29.000,6869.283,6888.098,6.364707999999998
2.1,edge,0.000000,700,29.000,6898.099,6917.082,6.271921052631578
2.1,edge,0.000000,1000,29.000,6927.083,6945.782,6.300554054054054
2.1,edge,0.000000,1300,29.000,6955.784,6974.634,6.303462666666667
2.1,edge,0.000000,1600,29.000,6984.635,7003.234,6.421247999999999
2.1,edge,0.000000,1900,29.000,7013.235,7032.246,6.344026666666669
2.1,edge,0.000000,2100,29.000,7042.247,7061.050,6.366581333333335
2.1,edge,0.000000,2400,29.000,7071.051,7089.642,6.254255405405404
