Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.09,1300,29.000,2919.230,2937.601,4.7679547945205485
1.5,pixel,0.09,1600,29.000,2947.602,2965.961,4.809946575342467
1.5,pixel,0.09,1900,29.000,2975.962,2994.296,4.736828767123286
1.5,pixel,0.09,2100,29.000,3004.298,3022.640,4.791702739726027
1.5,pixel,0.09,2400,29.000,3032.642,3050.944,4.680442465753424
1.5,pixel,0.09,2700,29.000,3060.946,3079.241,4.727793150684934
1.5,pixel,0.09,3000,29.000,3089.243,3107.652,4.8266689189189185
1.5,pixel,0.1,100,29.000,3117.655,3135.837,4.681951388888887
1.5,pixel,0.1,400,29.000,3145.839,3164.000,4.781258904109588
1.5,pixel,0.1,700,29.000,3174.001,3192.172,4.646895833333334
1.5,pixel,0.1,1000,29.000,3202.173,3220.320,4.786539726027398
1.5,pixel,0.1,1300,29.000,3230.322,3248.438,4.671766666666668
1.5,pixel,0.1,1600,29.000,3258.439,3276.668,4.753619178082194
1.5,pixel,0.1,1900,29.000,3286.669,3304.857,4.664845833333334
1.5,pixel,0.1,2100,29.000,3314.859,3333.043,4.711916438356165
1.5,pixel,0.1,2400,29.000,3343.044,3361.200,4.685993055555556
1.5,pixel,0.1,2700,29.000,3371.201,3389.363,4.78465205479452
1.5,pixel,0.1,3000,29.000,3399.364,3417.492,4.6551638888888895
1.5,area,0.0,100,29.000,3427.495,3445.764,4.717076712328769
1.5,area,0.0,400,29.000,3455.766,3473.949,4.632406944444445
1.5,area,0.0,700,29.000,3483.950,3502.245,4.632119178082193
1.5,area,0.0,1000,29.000,3512.246,3530.497,4.649041095890409
1.5,area,0.0,1300,29.000,3540.498,3558.705,4.579658904109589
1.5,area,0.0,1600,29.000,3568.706,3587.172,4.669205405405405
1.5,area,0.0,1900,29.000,3597.173,3615.388,4.624937499999999
1.5,area,0.0,2100,29.000,3625.389,3643.596,4.658971232876713
1.5,area,0.0,2400,29.000,3653.597,3671.981,4.700571232876711
1.5,area,0.0,2700,29.000,3681.982,3700.292,4.649163013698632
1.5,area,0.0,3000,29.000,3710.294,3728.677,4.749633783783785
1.5,area,0.01,100,29.000,3738.679,3757.051,4.727816438356163
1.5,area,0.01,400,29.000,3767.053,3785.425,4.801994520547944
1.5,area,0.01,700,29.000,3795.426,3813.782,4.687793150684931
1.5,area,0.01,1000,29.000,3823.783,3842.141,4.791925675675674
1.5,area,0.01,1300,29.000,3852.142,3870.513,4.680950684931508
1.5,area,0.01,1600,29.000,3880.515,3898.911,4.756316438356166
1.5,area,0.01,1900,29.000,3908.912,3927.303,4.781227027027026
1.5,area,0.01,2100,29.000,3937.304,3955.764,4.829494520547946
1.5,area,0.01,2400,29.000,3965.766,3984.206,4.669836486486488
1.5,area,0.01,2700,29.000,3994.207,4012.594,4.779561643835617
1.5,area,0.01,3000,29.000,4022.596,4041.018,4.807516216216217
1.5,area,0.02,100,29.000,4051.020,4069.452,4.910519178082191
1.5,area,0.02,400,29.000,4079.454,4097.933,4.795267567567569
1.5,area,0.02,700,29.000,4107.934,4126.409,4.811433783783784
1.5,area,0.02,1000,29.000,4136.410,4154.835,4.880121917808218
1.5,area,0.02,1300,29.000,4164.836,4183.242,4.851334246575341
1.5,area,0.02,1600,29.000,4193.243,4211.756,4.861618918918921
1.5,area,0.02,1900,29.000,4221.758,4240.219,4.804470270270268
1.5,area,0.02,2100,29.000,4250.221,4268.771,4.84930135135135
1.5,area,0.02,2400,29.000,4278.772,4297.215,4.8642878378378365
1.5,area,0.02,2700,29.000,4307.216,4325.668,4.792609589041096
1.5,area,0.02,3000,29.000,4335.669,4354.111,4.8215918918918925
1.5,area,0.03,100,29.000,4364.113,4382.545,4.867080821917809
1.5,area,0.03,400,29.000,4392.546,4410.978,4.812599999999999
1.5,area,0.03,700,29.000,4420.979,4439.404,4.896173972602739
1.5,area,0.03,1000,29.000,4449.405,4467.890,4.791801351351352
1.5,area,0.03,1300,29.000,4477.891,4496.349,4.888386301369865
1.5,area,0.03,1600,29.000,4506.350,4524.841,4.786267567567568
1.5,area,0.03,1900,29.000,4534.842,4553.286,4.889525675675676
1.5,area,0.03,2100,29.000,4563.287,4581.861,4.808635135135134
1.5,area,0.03,2400,29.000,4591.862,4610.340,4.898516216216217
1.5,area,0.03,2700,29.000,4620.341,4638.731,4.801143835616439
1.5,area,0.03,3000,29.000,4648.732,4667.237,4.835716216216216
1.5,area,0.04,100,29.000,4677.239,4695.777,4.83845
1.5,area,0.04,400,29.000,4705.779,4724.304,4.897645945945945
1.5,area,0.04,700,29.000,4734.305,4752.758,4.770526027397262
1.5,area,0.04,1000,29.000,4762.760,4781.268,4.854652702702705
1.5,area,0.04,1300,29.000,4791.269,4809.738,4.906629729729729
1.5,area,0.04,1600,29.000,4819.739,4838.241,4.827579729729732
1.5,area,0.04,1900,29.000,4848.242,4866.705,4.812171621621625
1.5,area,0.04,2100,29.000,4876.707,4895.226,4.883451351351352
1.5,area,0.04,2400,29.000,4905.228,4923.680,4.8540835616438365
1.5,area,0.04,2700,29.000,4933.681,4952.142,4.822733783783783
1.5,area,0.04,3000,29.000,4962.143,4980.664,4.848422972972974
1.5,area,0.05,100,29.000,4990.667,5009.124,4.778450000000003
1.5,area,0.05,400,29.000,5019.125,5037.658,4.896713698630137
1.5,area,0.05,700,29.000,5047.659,5066.185,4.8025
1.5,area,0.05,1000,29.000,5076.186,5094.659,4.851301351351351
1.5,area,0.05,1300,29.000,5104.660,5123.172,4.820058108108107
1.5,area,0.05,1600,29.000,5133.173,5151.766,4.892266216216216
1.5,area,0.05,1900,29.000,5161.767,5180.261,4.779248648648647
1.5,area,0.05,2100,29.000,5190.262,5208.832,4.88269864864865
1.5,area,0.05,2400,29.000,5218.834,5237.271,4.771989189189193
1.5,area,0.05,2700,29.000,5247.275,5265.819,4.913802702702701
1.5,area,0.05,3000,29.000,5275.820,5294.306,4.832835616438353
1.5,area,0.06,100,29.000,5304.309,5322.823,4.8728621621621615
1.5,area,0.06,400,29.000,5332.824,5351.293,4.829277027027026
1.5,area,0.06,700,29.000,5361.294,5379.862,4.831444594594595
1.5,area,0.06,1000,29.000,5389.863,5408.401,4.872314864864866
1.5,area,0.06,1300,29.000,5418.402,5436.916,4.838062162162162
