Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,area,0.0300,3000,0.6087
1.8,area,0.0400,100,0.4943
1.8,area,0.0400,400,0.5766
1.8,area,0.0400,700,0.5735
1.8,area,0.0400,1000,0.5782
1.8,area,0.0400,1300,0.5711
1.8,area,0.0400,1600,0.5826
1.8,area,0.0400,1900,0.5612
1.8,area,0.0400,2100,0.5769
1.8,area,0.0400,2400,0.5750
1.8,area,0.0400,2700,0.5754
1.8,area,0.0400,3000,0.5804
1.8,area,0.0500,100,0.4753
1.8,area,0.0500,400,0.5637
1.8,area,0.0500,700,0.5907
1.8,area,0.0500,1000,0.6005
1.8,area,0.0500,1300,0.6053
1.8,area,0.0500,1600,0.5888
1.8,area,0.0500,1900,0.5788
1.8,area,0.0500,2100,0.6040
1.8,area,0.0500,2400,0.5851
1.8,area,0.0500,2700,0.5994
1.8,area,0.0500,3000,0.5806
1.8,area,0.0600,100,0.4189
1.8,area,0.0600,400,0.5263
1.8,area,0.0600,700,0.5421
1.8,area,0.0600,1000,0.5519
1.8,area,0.0600,1300,0.5604
1.8,area,0.0600,1600,0.5529
1.8,area,0.0600,1900,0.5457
1.8,area,0.0600,2100,0.5630
1.8,area,0.0600,2400,0.5539
1.8,area,0.0600,2700,0.5482
1.8,area,0.0600,3000,0.5464
1.8,area,0.0700,100,0.3704
1.8,area,0.0700,400,0.4973
1.8,area,0.0700,700,0.5279
1.8,area,0.0700,1000,0.5394
1.8,area,0.0700,1300,0.5449
1.8,area,0.0700,1600,0.5376
1.8,area,0.0700,1900,0.5367
1.8,area,0.0700,2100,0.5232
1.8,area,0.0700,2400,0.5298
1.8,area,0.0700,2700,0.5260
1.8,area,0.0700,3000,0.5287
1.8,area,0.0800,100,0.2971
1.8,area,0.0800,400,0.4603
1.8,area,0.0800,700,0.4664
1.8,area,0.0800,1000,0.4696
1.8,area,0.0800,1300,0.4746
1.8,area,0.0800,1600,0.4728
1.8,area,0.0800,1900,0.4703
1.8,area,0.0800,2100,0.4697
1.8,area,0.0800,2400,0.4812
1.8,area,0.0800,2700,0.4733
1.8,area,0.0800,3000,0.4680
1.8,area,0.0900,100,0.2908
1.8,area,0.0900,400,0.4974
1.8,area,0.0900,700,0.4911
1.8,area,0.0900,1000,0.4982
1.8,area,0.0900,1300,0.5195
1.8,area,0.0900,1600,0.5023
1.8,area,0.0900,1900,0.5091
1.8,area,0.0900,2100,0.5024
1.8,area,0.0900,2400,0.5278
1.8,area,0.0900,2700,0.5217
1.8,area,0.0900,3000,0.5040
1.8,area,0.1000,100,0.2461
1.8,area,0.1000,400,0.4053
1.8,area,0.1000,700,0.4035
1.8,area,0.1000,1000,0.4182
1.8,area,0.1000,1300,0.4117
1.8,area,0.1000,1600,0.4036
1.8,area,0.1000,1900,0.4068
1.8,area,0.1000,2100,0.4047
1.8,area,0.1000,2400,0.4061
1.8,area,0.1000,2700,0.4132
1.8,area,0.1000,3000,0.4112
1.8,edge,0.0000,100,0.5456
1.8,edge,0.0000,400,0.6923
1.8,edge,0.0000,700,0.6945
1.8,edge,0.0000,1000,0.6961
1.8,edge,0.0000,1300,0.7073
1.8,edge,0.0000,1600,0.7056
1.8,edge,0.0000,1900,0.6964
1.8,edge,0.0000,2100,0.6984
1.8,edge,0.0000,2400,0.6953
1.8,edge,0.0000,2700,0.7033
1.8,edge,0.0000,3000,0.6969
1.8,edge,0.0004,100,0.5638
1.8,edge,0.0004,400,0.6848
1.8,edge,0.0004,700,0.6952
1.8,edge,0.0004,1000,0.6968
1.8,edge,0.0004,1300,0.7212
1.8,edge,0.0004,1600,0.7052
1.8,edge,0.0004,1900,0.6952
1.8,edge,0.0004,2100,0.6905
1.8,edge,0.0004,2400,0.7070
1.8,edge,0.0004,2700,0.6921
1.8,edge,0.0004,3000,0.7104
1.8,edge,0.0008,100,0.5875
1.8,edge,0.0008,400,0.6806
1.8,edge,0.0008,700,0.7014
1.8,edge,0.0008,1000,0.7006
1.8,edge,0.0008,1300,0.6944
1.8,edge,0.0008,1600,0.7005
1.8,edge,0.0008,1900,0.7040
1.8,edge,0.0008,2100,0.7012
1.8,edge,0.0008,2400,0.6857
1.8,edge,0.0008,2700,0.6949
1.8,edge,0.0008,3000,0.6858
1.8,edge,0.0012,100,0.5536
1.8,edge,0.0012,400,0.6816
1.8,edge,0.0012,700,0.6805
1.8,edge,0.0012,1000,0.6926
1.8,edge,0.0012,1300,0.6873
1.8,edge,0.0012,1600,0.6860
1.8,edge,0.0012,1900,0.6848
1.8,edge,0.0012,2100,0.6943
1.8,edge,0.0012,2400,0.7005
1.8,edge,0.0012,2700,0.6817
1.8,edge,0.0012,3000,0.6851
1.8,edge,0.0016,100,0.5288
1.8,edge,0.0016,400,0.6360
1.8,edge,0.0016,700,0.6642
1.8,edge,0.0016,1000,0.6489
1.8,edge,0.0016,1300,0.6634
1.8,edge,0.0016,1600,0.6647
1.8,edge,0.0016,1900,0.6620
1.8,edge,0.0016,2100,0.6698
1.8,edge,0.0016,2400,0.6626
1.8,edge,0.0016,2700,0.6719
1.8,edge,0.0016,3000,0.6663
1.8,edge,0.0020,100,0.4646
