Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,pixel,0.0400,1600,0.7291
1.5,pixel,0.0400,1900,0.7241
1.5,pixel,0.0400,2100,0.7237
1.5,pixel,0.0400,2400,0.7287
1.5,pixel,0.0400,2700,0.7318
1.5,pixel,0.0400,3000,0.7277
1.5,pixel,0.0500,100,0.0000
1.5,pixel,0.0500,400,0.7051
1.5,pixel,0.0500,700,0.7260
1.5,pixel,0.0500,1000,0.7311
1.5,pixel,0.0500,1300,0.7295
1.5,pixel,0.0500,1600,0.7242
1.5,pixel,0.0500,1900,0.7253
1.5,pixel,0.0500,2100,0.7237
1.5,pixel,0.0500,2400,0.7269
1.5,pixel,0.0500,2700,0.7288
1.5,pixel,0.0500,3000,0.7291
1.5,pixel,0.0600,100,0.0000
1.5,pixel,0.0600,400,0.6968
1.5,pixel,0.0600,700,0.7179
1.5,pixel,0.0600,1000,0.7273
1.5,pixel,0.0600,1300,0.7274
1.5,pixel,0.0600,1600,0.7264
1.5,pixel,0.0600,1900,0.7267
1.5,pixel,0.0600,2100,0.7319
1.5,pixel,0.0600,2400,0.7334
1.5,pixel,0.0600,2700,0.7292
1.5,pixel,0.0600,3000,0.7321
1.5,pixel,0.0700,100,0.0000
1.5,pixel,0.0700,400,0.7059
1.5,pixel,0.0700,700,0.7299
1.5,pixel,0.0700,1000,0.7263
1.5,pixel,0.0700,1300,0.7303
1.5,pixel,0.0700,1600,0.7294
1.5,pixel,0.0700,1900,0.7287
1.5,pixel,0.0700,2100,0.7278
1.5,pixel,0.0700,2400,0.7305
1.5,pixel,0.0700,2700,0.7313
1.5,pixel,0.0700,3000,0.7319
1.5,pixel,0.0800,100,0.0000
1.5,pixel,0.0800,400,0.6956
1.5,pixel,0.0800,700,0.7197
1.5,pixel,0.0800,1000,0.7234
1.5,pixel,0.0800,1300,0.7294
1.5,pixel,0.0800,1600,0.7237
1.5,pixel,0.0800,1900,0.7289
1.5,pixel,0.0800,2100,0.7248
1.5,pixel,0.0800,2400,0.7258
1.5,pixel,0.0800,2700,0.7269
1.5,pixel,0.0800,3000,0.7286
1.5,pixel,0.0900,100,0.0000
1.5,pixel,0.0900,400,0.6866
1.5,pixel,0.0900,700,0.7297
1.5,pixel,0.0900,1000,0.7277
1.5,pixel,0.0900,1300,0.7262
1.5,pixel,0.0900,1600,0.7247
1.5,pixel,0.0900,1900,0.7260
1.5,pixel,0.0900,2100,0.7232
1.5,pixel,0.0900,2400,0.7290
1.5,pixel,0.0900,2700,0.7261
1.5,pixel,0.0900,3000,0.7318
1.5,pixel,0.1000,100,0.0000
1.5,pixel,0.1000,400,0.6948
1.5,pixel,0.1000,700,0.7323
1.5,pixel,0.1000,1000,0.7309
1.5,pixel,0.1000,1300,0.7254
1.5,pixel,0.1000,1600,0.7258
1.5,pixel,0.1000,1900,0.7274
1.5,pixel,0.1000,2100,0.7238
1.5,pixel,0.1000,2400,0.7312
1.5,pixel,0.1000,2700,0.7305
1.5,pixel,0.1000,3000,0.7286
1.8,area,0.0000,100,0.8369
1.8,area,0.0000,400,0.9265
1.8,area,0.0000,700,0.9210
1.8,area,0.0000,1000,0.9374
1.8,area,0.0000,1300,0.9350
1.8,area,0.0000,1600,0.9378
1.8,area,0.0000,1900,0.9325
1.8,area,0.0000,2100,0.9356
1.8,area,0.0000,2400,0.9327
1.8,area,0.0000,2700,0.9304
1.8,area,0.0000,3000,0.9343
1.8,area,0.0100,100,0.4210
1.8,area,0.0100,400,0.8058
1.8,area,0.0100,700,0.8170
1.8,area,0.0100,1000,0.8199
1.8,area,0.0100,1300,0.8433
1.8,area,0.0100,1600,0.8493
1.8,area,0.0100,1900,0.8499
1.8,area,0.0100,2100,0.8417
1.8,area,0.0100,2400,0.8592
1.8,area,0.0100,2700,0.8504
1.8,area,0.0100,3000,0.8527
1.8,area,0.0200,100,0.3810
1.8,area,0.0200,400,0.5644
1.8,area,0.0200,700,0.7771
1.8,area,0.0200,1000,0.7468
1.8,area,0.0200,1300,0.7450
1.8,area,0.0200,1600,0.7484
1.8,area,0.0200,1900,0.7442
1.8,area,0.0200,2100,0.7433
1.8,area,0.0200,2400,0.7456
1.8,area,0.0200,2700,0.7447
1.8,area,0.0200,3000,0.7467
1.8,area,0.0300,100,0.0096
1.8,area,0.0300,400,0.7135
1.8,area,0.0300,700,0.7413
1.8,area,0.0300,1000,0.7761
1.8,area,0.0300,1300,0.7816
1.8,area,0.0300,1600,0.7777
1.8,area,0.0300,1900,0.7772
1.8,area,0.0300,2100,0.7737
1.8,area,0.0300,2400,0.7783
