Frequency,Filter,Threshold,Frame Bitrate,Frame Count
1.5,edge,0.0040,100,181
1.5,edge,0.0040,1000,171
1.5,edge,0.0040,1300,167
1.5,edge,0.0040,1600,169
1.5,edge,0.0040,1900,168
1.5,edge,0.0040,2100,169
1.5,edge,0.0040,2400,167
1.5,edge,0.0040,2700,167
1.5,edge,0.0040,3000,166
1.5,edge,0.0040,400,176
1.5,edge,0.0040,700,174
1.5,pixel,0.0000,100,1575
1.5,pixel,0.0000,1000,1368
1.5,pixel,0.0000,1300,1388
1.5,pixel,0.0000,1600,1346
1.5,pixel,0.0000,1900,1342
1.5,pixel,0.0000,2100,1333
1.5,pixel,0.0000,2400,1346
1.5,pixel,0.0000,2700,1379
1.5,pixel,0.0000,3000,1381
1.5,pixel,0.0000,400,1477
1.5,pixel,0.0000,700,1411
1.5,pixel,0.0100,100,1155
1.5,pixel,0.0100,1000,1124
1.5,pixel,0.0100,1300,1123
1.5,pixel,0.0100,1600,1098
1.5,pixel,0.0100,1900,1090
1.5,pixel,0.0100,2100,1082
1.5,pixel,0.0100,2400,1082
1.5,pixel,0.0100,2700,1087
1.5,pixel,0.0100,3000,1096
1.5,pixel,0.0100,400,1135
1.5,pixel,0.0100,700,1122
1.5,pixel,0.0200,100,926
1.5,pixel,0.0200,1000,893
1.5,pixel,0.0200,1300,898
1.5,pixel,0.0200,1600,882
1.5,pixel,0.0200,1900,883
1.5,pixel,0.0200,2100,886
1.5,pixel,0.0200,2400,884
1.5,pixel,0.0200,2700,883
1.5,pixel,0.0200,3000,881
1.5,pixel,0.0200,400,914
1.5,pixel,0.0200,700,906
1.5,pixel,0.0300,100,592
1.5,pixel,0.0300,1000,581
1.5,pixel,0.0300,1300,583
1.5,pixel,0.0300,1600,582
1.5,pixel,0.0300,1900,582
1.5,pixel,0.0300,2100,578
1.5,pixel,0.0300,2400,578
1.5,pixel,0.0300,2700,576
1.5,pixel,0.0300,3000,574
1.5,pixel,0.0300,400,590
1.5,pixel,0.0300,700,586
1.5,pixel,0.0400,100,369
1.5,pixel,0.0400,1000,370
1.5,pixel,0.0400,1300,366
1.5,pixel,0.0400,1600,369
1.5,pixel,0.0400,1900,368
1.5,pixel,0.0400,2100,366
1.5,pixel,0.0400,2400,368
1.5,pixel,0.0400,2700,367
1.5,pixel,0.0400,3000,367
1.5,pixel,0.0400,400,370
1.5,pixel,0.0400,700,370
1.5,pixel,0.0500,100,225
1.5,pixel,0.0500,1000,225
1.5,pixel,0.0500,1300,224
1.5,pixel,0.0500,1600,225
1.5,pixel,0.0500,1900,225
1.5,pixel,0.0500,2100,224
1.5,pixel,0.0500,2400,224
1.5,pixel,0.0500,2700,224
1.5,pixel,0.0500,3000,224
1.5,pixel,0.0500,400,224
1.5,pixel,0.0500,700,225
1.5,pixel,0.0600,100,149
1.5,pixel,0.0600,1000,149
1.5,pixel,0.0600,1300,149
1.5,pixel,0.0600,1600,149
1.5,pixel,0.0600,1900,149
1.5,pixel,0.0600,2100,149
1.5,pixel,0.0600,2400,149
1.5,pixel,0.0600,2700,149
1.5,pixel,0.0600,3000,149
1.5,pixel,0.0600,400,149
1.5,pixel,0.0600,700,149
1.5,pixel,0.0700,100,99
1.5,pixel,0.0700,1000,99
1.5,pixel,0.0700,1300,99
1.5,pixel,0.0700,1600,99
1.5,pixel,0.0700,1900,99
1.5,pixel,0.0700,2100,99
1.5,pixel,0.0700,2400,99
1.5,pixel,0.0700,2700,99
1.5,pixel,0.0700,3000,99
1.5,pixel,0.0700,400,99
1.5,pixel,0.0700,700,99
1.5,pixel,0.0800,100,66
1.5,pixel,0.0800,1000,66
1.5,pixel,0.0800,1300,66
1.5,pixel,0.0800,1600,66
1.5,pixel,0.0800,1900,66
1.5,pixel,0.0800,2100,66
1.5,pixel,0.0800,2400,66
1.5,pixel,0.0800,2700,66
1.5,pixel,0.0800,3000,66
1.5,pixel,0.0800,400,66
1.5,pixel,0.0800,700,66
1.5,pixel,0.0900,100,45
1.5,pixel,0.0900,1000,45
1.5,pixel,0.0900,1300,45
1.5,pixel,0.0900,1600,45
1.5,pixel,0.0900,1900,45
1.5,pixel,0.0900,2100,45
1.5,pixel,0.0900,2400,45
1.5,pixel,0.0900,2700,45
1.5,pixel,0.0900,3000,45
1.5,pixel,0.0900,400,45
1.5,pixel,0.0900,700,45
1.5,pixel,0.1000,100,29
1.5,pixel,0.1000,1000,29
1.5,pixel,0.1000,1300,29
1.5,pixel,0.1000,1600,29
1.5,pixel,0.1000,1900,29
1.5,pixel,0.1000,2100,29
1.5,pixel,0.1000,2400,29
1.5,pixel,0.1000,2700,29
1.5,pixel,0.1000,3000,29
1.5,pixel,0.1000,400,29
1.5,pixel,0.1000,700,29
1.8,area,0.0000,100,1349
1.8,area,0.0000,1000,1294
1.8,area,0.0000,1300,1291
1.8,area,0.0000,1600,1270
1.8,area,0.0000,1900,1271
1.8,area,0.0000,2100,1273
1.8,area,0.0000,2400,1269
1.8,area,0.0000,2700,1262
1.8,area,0.0000,3000,1263
1.8,area,0.0000,400,1323
1.8,area,0.0000,700,1316
1.8,area,0.0100,100,846
1.8,area,0.0100,1000,826
1.8,area,0.0100,1300,816
1.8,area,0.0100,1600,815
1.8,area,0.0100,1900,816
1.8,area,0.0100,2100,817
1.8,area,0.0100,2400,807
1.8,area,0.0100,2700,811
1.8,area,0.0100,3000,801
1.8,area,0.0100,400,833
1.8,area,0.0100,700,821
1.8,area,0.0200,100,471
1.8,area,0.0200,1000,473
1.8,area,0.0200,1300,469
1.8,area,0.0200,1600,471
1.8,area,0.0200,1900,470
1.8,area,0.0200,2100,471
1.8,area,0.0200,2400,468
1.8,area,0.0200,2700,471
1.8,area,0.0200,3000,469
1.8,area,0.0200,400,475
1.8,area,0.0200,700,473
1.8,area,0.0300,100,263
1.8,area,0.0300,1000,263
1.8,area,0.0300,1300,263
1.8,area,0.0300,1600,262
1.8,area,0.0300,1900,262
1.8,area,0.0300,2100,262
1.8,area,0.0300,2400,262
1.8,area,0.0300,2700,263
1.8,area,0.0300,3000,263
1.8,area,0.0300,400,264
1.8,area,0.0300,700,263
1.8,area,0.0400,100,134
1.8,area,0.0400,1000,134
1.8,area,0.0400,1300,134
1.8,area,0.0400,1600,134
1.8,area,0.0400,1900,134
1.8,area,0.0400,2100,134
1.8,area,0.0400,2400,134
1.8,area,0.0400,2700,132
1.8,area,0.0400,3000,135
1.8,area,0.0400,400,134
1.8,area,0.0400,700,134
1.8,area,0.0500,100,75
1.8,area,0.0500,1000,75
1.8,area,0.0500,1300,75
1.8,area,0.0500,1600,75
1.8,area,0.0500,1900,75
1.8,area,0.0500,2100,75
1.8,area,0.0500,2400,75
1.8,area,0.0500,2700,75
1.8,area,0.0500,3000,75
1.8,area,0.0500,400,75
1.8,area,0.0500,700,75
1.8,area,0.0600,100,47
1.8,area,0.0600,1000,47
1.8,area,0.0600,1300,47
1.8,area,0.0600,1600,47
1.8,area,0.0600,1900,47
1.8,area,0.0600,2100,47
1.8,area,0.0600,2400,47
1.8,area,0.0600,2700,46
1.8,area,0.0600,3000,47
1.8,area,0.0600,400,47
1.8,area,0.0600,700,47
1.8,area,0.0700,100,32
1.8,area,0.0700,1000,32
1.8,area,0.0700,1300,32
1.8,area,0.0700,1600,32
1.8,area,0.0700,1900,32
1.8,area,0.0700,2100,32
1.8,area,0.0700,2400,32
1.8,area,0.0700,2700,32
1.8,area,0.0700,3000,32
1.8,area,0.0700,400,32
1.8,area,0.0700,700,32
1.8,area,0.0800,100,20
1.8,area,0.0800,1000,20
1.8,area,0.0800,1300,21
1.8,area,0.0800,1600,21
1.8,area,0.0800,1900,20
1.8,area,0.0800,2100,20
1.8,area,0.0800,2400,20
1.8,area,0.0800,2700,20
1.8,area,0.0800,3000,20
1.8,area,0.0800,400,20
1.8,area,0.0800,700,20
1.8,area,0.0900,100,17
1.8,area,0.0900,1000,17
1.8,area,0.0900,1300,17
1.8,area,0.0900,1600,17
1.8,area,0.0900,1900,17
1.8,area,0.0900,2100,17
1.8,area,0.0900,2400,17
1.8,area,0.0900,2700,17
1.8,area,0.0900,3000,17
1.8,area,0.0900,400,17
1.8,area,0.0900,700,17
1.8,area,0.1000,100,11
1.8,area,0.1000,1000,11
1.8,area,0.1000,1300,11
1.8,area,0.1000,1600,11
1.8,area,0.1000,1900,11
1.8,area,0.1000,2100,11
1.8,area,0.1000,2400,11
1.8,area,0.1000,2700,11
1.8,area,0.1000,3000,10
1.8,area,0.1000,400,11
1.8,area,0.1000,700,11
1.8,edge,0.0000,100,1534
1.8,edge,0.0000,1000,1388
1.8,edge,0.0000,1300,1378
1.8,edge,0.0000,1600,1356
1.8,edge,0.0000,1900,1334
1.8,edge,0.0000,2100,1343
1.8,edge,0.0000,2400,1332
1.8,edge,0.0000,2700,1334
1.8,edge,0.0000,3000,1318
1.8,edge,0.0000,400,1476
1.8,edge,0.0000,700,1438
1.8,edge,0.0004,100,1285
1.8,edge,0.0004,1000,1218
1.8,edge,0.0004,1300,1200
1.8,edge,0.0004,1600,1200
1.8,edge,0.0004,1900,1176
1.8,edge,0.0004,2100,1180
1.8,edge,0.0004,2400,1168
1.8,edge,0.0004,2700,1165
1.8,edge,0.0004,3000,1160
1.8,edge,0.0004,400,1252
1.8,edge,0.0004,700,1235
1.8,edge,0.0008,100,1227
1.8,edge,0.0008,1000,1155
1.8,edge,0.0008,1300,1127
1.8,edge,0.0008,1600,1122
1.8,edge,0.0008,1900,1124
1.8,edge,0.0008,2100,1130
1.8,edge,0.0008,2400,1116
1.8,edge,0.0008,2700,1133
1.8,edge,0.0008,3000,1114
1.8,edge,0.0008,400,1195
1.8,edge,0.0008,700,1178
1.8,edge,0.0012,100,1129
1.8,edge,0.0012,1000,1066
1.8,edge,0.0012,1300,1060
1.8,edge,0.0012,1600,1048
1.8,edge,0.0012,1900,1043
1.8,edge,0.0012,2100,1041
1.8,edge,0.0012,2400,1027
1.8,edge,0.0012,2700,1030
1.8,edge,0.0012,3000,1025
1.8,edge,0.0012,400,1112
1.8,edge,0.0012,700,1087
1.8,edge,0.0016,100,965
1.8,edge,0.0016,1000,917
1.8,edge,0.0016,1300,896
1.8,edge,0.0016,1600,901
1.8,edge,0.0016,1900,893
1.8,edge,0.0016,2100,880
1.8,edge,0.0016,2400,896
1.8,edge,0.0016,2700,873
1.8,edge,0.0016,3000,887
1.8,edge,0.0016,400,943
1.8,edge,0.0016,700,930
1.8,edge,0.0020,100,773
1.8,edge,0.0020,1000,740
1.8,edge,0.0020,1300,723
1.8,edge,0.0020,1600,723
1.8,edge,0.0020,1900,730
1.8,edge,0.0020,2100,720
1.8,edge,0.0020,2400,724
1.8,edge,0.0020,2700,717
1.8,edge,0.0020,3000,726
1.8,edge,0.0020,400,761
1.8,edge,0.0020,700,751
1.8,edge,0.0024,100,581
1.8,edge,0.0024,1000,561
1.8,edge,0.0024,1300,555
1.8,edge,0.0024,1600,547
1.8,edge,0.0024,1900,543
1.8,edge,0.0024,2100,555
1.8,edge,0.0024,2400,546
1.8,edge,0.0024,2700,544
1.8,edge,0.0024,3000,542
1.8,edge,0.0024,400,569
1.8,edge,0.0024,700,561
1.8,edge,0.0028,100,426
1.8,edge,0.0028,1000,405
1.8,edge,0.0028,1300,406
1.8,edge,0.0028,1600,395
1.8,edge,0.0028,1900,397
1.8,edge,0.0028,2100,392
1.8,edge,0.0028,2400,396
1.8,edge,0.0028,2700,394
1.8,edge,0.0028,3000,391
1.8,edge,0.0028,400,417
1.8,edge,0.0028,700,412
1.8,edge,0.0032,100,309
1.8,edge,0.0032,1000,295
1.8,edge,0.0032,1300,289
1.8,edge,0.0032,1600,295
1.8,edge,0.0032,1900,288
1.8,edge,0.0032,2100,288
1.8,edge,0.0032,2400,280
1.8,edge,0.0032,2700,278
1.8,edge,0.0032,3000,277
1.8,edge,0.0032,400,300
1.8,edge,0.0032,700,302
1.8,edge,0.0036,100,230
1.8,edge,0.0036,1000,227
1.8,edge,0.0036,1300,223
1.8,edge,0.0036,1600,220
1.8,edge,0.0036,1900,219
1.8,edge,0.0036,2100,222
1.8,edge,0.0036,2400,211
1.8,edge,0.0036,2700,218
1.8,edge,0.0036,3000,224
1.8,edge,0.0036,400,231
1.8,edge,0.0036,700,227
1.8,edge,0.0040,100,183
1.8,edge,0.0040,1000,176
1.8,edge,0.0040,1300,171
1.8,edge,0.0040,1600,177
1.8,edge,0.0040,1900,175
1.8,edge,0.0040,2100,172
1.8,edge,0.0040,2400,171
1.8,edge,0.0040,2700,173
1.8,edge,0.0040,3000,171
1.8,edge,0.0040,400,182
1.8,edge,0.0040,700,179
1.8,pixel,0.0000,100,1550
1.8,pixel,0.0000,1000,1485
1.8,pixel,0.0000,1300,1492
1.8,pixel,0.0000,1600,1466
1.8,pixel,0.0000,1900,1475
1.8,pixel,0.0000,2100,1483
1.8,pixel,0.0000,2400,1467
1.8,pixel,0.0000,2700,1445
1.8,pixel,0.0000,3000,1425
1.8,pixel,0.0000,400,1533
1.8,pixel,0.0000,700,1517
1.8,pixel,0.0100,100,1185
1.8,pixel,0.0100,1000,1142
1.8,pixel,0.0100,1300,1143
1.8,pixel,0.0100,1600,1130
1.8,pixel,0.0100,1900,1128
1.8,pixel,0.0100,2100,1129
1.8,pixel,0.0100,2400,1130
1.8,pixel,0.0100,2700,1116
1.8,pixel,0.0100,3000,1123
1.8,pixel,0.0100,400,1168
1.8,pixel,0.0100,700,1153
1.8,pixel,0.0200,100,942
1.8,pixel,0.0200,1000,921
1.8,pixel,0.0200,1300,915
1.8,pixel,0.0200,1600,922
1.8,pixel,0.0200,1900,917
1.8,pixel,0.0200,2100,916
1.8,pixel,0.0200,2400,915
1.8,pixel,0.0200,2700,910
1.8,pixel,0.0200,3000,912
1.8,pixel,0.0200,400,935
1.8,pixel,0.0200,700,933
1.8,pixel,0.0300,100,594
1.8,pixel,0.0300,1000,591
1.8,pixel,0.0300,1300,590
1.8,pixel,0.0300,1600,588
1.8,pixel,0.0300,1900,585
1.8,pixel,0.0300,2100,583
1.8,pixel,0.0300,2400,586
1.8,pixel,0.0300,2700,585
1.8,pixel,0.0300,3000,589
1.8,pixel,0.0300,400,593
1.8,pixel,0.0300,700,592
1.8,pixel,0.0400,100,370
1.8,pixel,0.0400,1000,370
1.8,pixel,0.0400,1300,370
1.8,pixel,0.0400,1600,369
1.8,pixel,0.0400,1900,370
1.8,pixel,0.0400,2100,369
1.8,pixel,0.0400,2400,368
1.8,pixel,0.0400,2700,368
1.8,pixel,0.0400,3000,369
1.8,pixel,0.0400,400,371
1.8,pixel,0.0400,700,371
1.8,pixel,0.0500,100,224
1.8,pixel,0.0500,1000,224
1.8,pixel,0.0500,1300,224
1.8,pixel,0.0500,1600,224
1.8,pixel,0.0500,1900,224
1.8,pixel,0.0500,2100,224
1.8,pixel,0.0500,2400,225
1.8,pixel,0.0500,2700,224
1.8,pixel,0.0500,3000,225
1.8,pixel,0.0500,400,224
1.8,pixel,0.0500,700,224
1.8,pixel,0.0600,100,149
1.8,pixel,0.0600,1000,149
1.8,pixel,0.0600,1300,149
1.8,pixel,0.0600,1600,149
1.8,pixel,0.0600,1900,149
1.8,pixel,0.0600,2100,149
1.8,pixel,0.0600,2400,149
1.8,pixel,0.0600,2700,149
1.8,pixel,0.0600,3000,149
1.8,pixel,0.0600,400,149
1.8,pixel,0.0600,700,149
1.8,pixel,0.0700,100,99
1.8,pixel,0.0700,1000,99
1.8,pixel,0.0700,1300,99
1.8,pixel,0.0700,1600,99
